Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
Maruti Sx4 S Cross Ddis 200 Zeta,Nairobi,2017,26000,Diesel,Manual,First,23.65,1248.0,88.5,5.0,1443000.0
Mercedes-Benz Slk-Class Slk 350,Nakuru,2015,10000,Petrol,Automatic,First,18.1,3498.0,306.0,2.0,8140000.0
Volkswagen Polo Diesel Comfortline 1.2L,Kisumu,2011,75020,Diesel,Manual,First,22.07,1199.0,73.9,5.0,606799.9999999999
Toyota Fortuner 4X4 Mt,Kisumu,2011,157000,Diesel,Manual,First,12.55,2982.0,168.5,7.0,1774520.0
Mahindra Xuv500 W10 2Wd,Mombasa,2017,43773,Diesel,Manual,First,16.0,2179.0,140.0,7.0,2003920.0
Mercedes-Benz Gle 250D,Nairobi,2016,21000,Diesel,Automatic,First,17.9,2143.0,201.15,5.0,8288000.0
Honda Jazz 1.2 Vx I Vtec,Mombasa,2016,23280,Petrol,Manual,First,18.7,1199.0,88.7,5.0,962000.0
Maruti Swift Dzire Vdi,Eldoret,2013,88000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,703000.0
Hyundai Verna 1.6 Sx Vtvt,Kisumu,2014,67000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,828800.0
Ford Endeavour 3.2 Titanium At 4X4,Naivasha,2017,59636,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,4321600.0
Hyundai I20 1.2 Asta Option,Kisumu,2018,11000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,939800.0
Honda City 1.5 V Mt Sunroof,Nairobi,2013,60669,Petrol,Manual,First,16.8,1497.0,116.3,5.0,732600.0
Honda Amaze Vx Diesel,Kisumu,2018,12000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,1258000.0
Hyundai Verna 1.6 Sx Vtvt (O),Kisumu,2013,35000,Petrol,Manual,First,17.1,1591.0,121.3,5.0,666000.0
Honda Mobilio S I Dtec,Mombasa,2015,65000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,814000.0
Maruti Ertiga Zdi,Mombasa,2013,39929,Diesel,Manual,First,20.77,1248.0,88.8,7.0,970880.0
Maruti Alto K10 Lxi,Eldoret,2014,49000,Petrol,Manual,First,24.07,998.0,67.1,5.0,340399.99999999994
Toyota Qualis Fs B2,Eldoret,2004,77757,Diesel,Manual,Second,13.1,2446.0,75.0,10.0,518000.0
Hyundai I10 Sportz,Mombasa,2016,21456,Petrol,Manual,First,20.36,1197.0,78.9,5.0,673400.0
Skoda Laura 1.9 Tdi At Ambiente,Nakuru,2009,74000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,1147000.0
Hyundai I20 Asta Option 1.2,Nairobi,2015,37000,Petrol,Manual,Second,18.6,1197.0,81.83,5.0,777000.0
Bmw 5 Series 2003-2012 530D Highline,Naivasha,2013,108640,Diesel,Automatic,First,11.5,2993.0,235.0,5.0,3446920.0
Bmw 3 Series 320D M Sport,Nairobi,2016,38000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,3550520.0
Chevrolet Aveo 1.4 Lt Abs Bsiv,Eldoret,2010,80000,Petrol,Manual,First,14.49,1399.0,92.7,5.0,264920.0
Mercedes-Benz E-Class 2009-2013 E250 Cdi Elegance,Nairobi,2011,47000,Diesel,Automatic,Second,14.21,2143.0,203.0,5.0,2057200.0
Audi A6 2011-2015 2.0 Tdi Premium Plus,Kisumu,2013,31000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,2804600.0
Maruti Wagon R Lxi Bs Iv,Kisumu,2014,40000,Petrol,Manual,First,20.51,998.0,67.04,5.0,368520.00000000006
Renault Kwid Rxt,Nyeri,2016,4152,Petrol,Manual,First,25.17,799.0,53.3,5.0,466200.0
Volkswagen Ameo 1.5 Tdi Highline,Nairobi,2017,51000,Diesel,Manual,First,21.66,1498.0,108.62,5.0,954600.0
Volkswagen Polo Diesel Comfortline 1.2L,Thika,2013,55000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,629000.0
Maruti Alto 800 Lxi,Kisumu,2014,58500,Petrol,Manual,First,22.74,796.0,47.3,5.0,407000.0
Hyundai I20 Asta Option 1.2,Mombasa,2017,58620,Petrol,Manual,First,18.6,1197.0,81.83,5.0,1056720.0
Toyota Etios Liva G,Nairobi,2012,29605,Petrol,Manual,First,18.3,1197.0,97.7,5.0,361120.0
Hyundai I20 1.2 Sportz,Nyeri,2012,71172,Petrol,Manual,Third,17.0,1197.0,80.0,5.0,518000.0
Hyundai I20 1.4 Asta,Mombasa,2017,12000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,1080400.0
Maruti Wagon R Lxi Optional,Kisumu,2014,25000,Petrol,Manual,First,20.51,998.0,67.04,5.0,407000.0
Hyundai I20 1.4 Asta Option,Nakuru,2017,43000,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,1213599.9999999998
Volkswagen Polo Gt Tsi,Nairobi,2015,57022,Petrol,Automatic,First,17.21,1197.0,103.6,5.0,963480.0
Ford Figo Diesel Titanium,Eldoret,2015,92000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,629000.0
Maruti Swift Zxi,Naivasha,2014,33372,Petrol,Manual,Second,18.6,1197.0,85.8,5.0,919080.0
Hyundai Grand I10 Crdi Magna,Mombasa,2016,52625,Diesel,Manual,First,24.0,1120.0,70.0,5.0,677840.0
Mahindra Xylo H4,Mombasa,2016,215000,Diesel,Manual,First,14.02,2179.0,118.3,7.0,1110000.0
Maruti Alto Green Lxi (Cng),Nairobi,2012,65537,Cng,Manual,First,26.83,796.0,38.4,5.0,310800.0
Hyundai I10 Magna 1.1,Naivasha,2014,60138,Petrol,Manual,First,19.81,1086.0,68.05,5.0,605320.0
Skoda Octavia Elegance 2.0 Tdi At,Nairobi,2014,84000,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,1591000.0
Bmw X5 2014-2019 Xdrive 30D Design Pure Experience 7 Seater,Nairobi,2014,47000,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,6142000.0
Maruti Celerio Vxi At,Kisumu,2014,33450,Petrol,Automatic,First,23.1,998.0,67.04,5.0,651200.0000000001
Volkswagen Vento Diesel Comfortline,Nyeri,2013,125000,Diesel,Manual,Second,20.54,1598.0,103.6,5.0,925000.0
Bmw 3 Series 320D Highline,Eldoret,2011,99606,Diesel,Automatic,Second,16.07,1995.0,181.0,5.0,1554000.0
Maruti Ertiga Zdi,Nairobi,2014,64000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,1073000.0
Ford Figo Diesel Zxi,Kisumu,2013,51000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,473600.0
Volkswagen Polo 1.2 Mpi Highline,Nairobi,2014,57000,Petrol,Manual,First,16.47,1198.0,74.0,5.0,584600.0
Audi A6 3.0 Tdi Quattro,Naivasha,2009,48040,Diesel,Automatic,Second,16.77,2967.0,241.38,5.0,1786360.0
Toyota Innova Crysta 2.4 Zx Mt,Eldoret,2017,43200,Diesel,Manual,First,13.68,2393.0,147.8,7.0,2752800.0000000005
Hyundai Verna 1.6 Crdi Ex At,Nairobi,2013,66000,Diesel,Automatic,First,22.32,1582.0,126.3,5.0,843600.0
Hyundai Santro Xing Gl Plus,Kisumu,2013,31000,Petrol,Manual,First,17.92,1086.0,62.1,5.0,259000.0
Audi A4 2.0 Tdi,Nairobi,2011,46000,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,1626520.0
Audi A4 2.0 Tdi,Kisumu,2012,47346,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,2146000.0
Skoda Laura 1.9 Tdi Mt Ambiente,Nyeri,2009,100000,Diesel,Manual,First,17.0,1896.0,105.0,5.0,460280.0
Honda Cr-V 2.0L 2Wd At,Naivasha,2015,63856,Petrol,Automatic,First,13.7,1997.0,153.86,5.0,2066080.0
Hyundai Verna 1.6 Sx Crdi (O),Naivasha,2015,72996,Diesel,Manual,First,22.32,1582.0,126.32,5.0,1052280.0
Honda Mobilio Rs I Dtec,Mombasa,2014,23000,Diesel,Manual,First,24.5,1498.0,98.6,7.0,1021200.0
Hyundai I20 1.2 Asta Option,Naivasha,2018,15985,Petrol,Manual,First,18.6,1197.0,81.83,5.0,1149960.0
Toyota Innova 2.5 G (Diesel) 7 Seater Bs Iv,Kisumu,2011,98000,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,814000.0
Hyundai I20 Magna 1.2,Kisumu,2014,70089,Petrol,Manual,First,18.6,1197.0,81.83,5.0,791800.0
Mahindra Bolero Vlx Bs Iv,Mombasa,2011,99000,Diesel,Manual,Second,13.6,2523.0,63.0,7.0,666000.0
Volkswagen Vento 1.5 Tdi Comfortline,Nyeri,2014,72000,Diesel,Manual,First,20.34,1498.0,103.2,5.0,703000.0
Jaguar Xf 2.2 Litre Luxury,Naivasha,2015,44194,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,4854399.999999999
Maruti Zen Lxi - Bs Iii,Nairobi,2005,102000,Petrol,Manual,First,17.3,993.0,60.0,5.0,103600.0
Mercedes-Benz E-Class Facelift,Naivasha,2018,56652,Diesel,Automatic,First,13.0,2987.0,258.0,5.0,7442920.0
Toyota Fortuner 3.0 Diesel,Nairobi,2010,41650,Diesel,Manual,Second,11.5,2982.0,171.0,7.0,1626520.0
Hyundai Grand I10 At Asta,Naivasha,2015,61717,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,824360.0
Hyundai Xcent 1.2 Crdi S,Nyeri,2018,25302,Diesel,Manual,First,25.4,1186.0,73.97,5.0,873200.0
Hyundai Creta 1.6 Vtvt S,Naivasha,2016,47016,Petrol,Manual,First,15.29,1591.0,121.3,5.0,1395640.0
Hyundai I10 Sportz,Nakuru,2010,69000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,429200.0
Honda Brio S Mt,Nairobi,2016,32700,Petrol,Manual,First,19.4,1198.0,86.8,5.0,544640.0
Toyota Fortuner 4X2 At,Naivasha,2015,101337,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,3207160.0
Audi A4 2.0 Tdi Multitronic,Thika,2011,59000,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,1850000.0
Toyota Innova Crysta 2.8 Zx At,Mombasa,2018,41736,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,2948160.0000000005
Honda City I Dtec Vx,Nyeri,2014,71649,Diesel,Manual,First,25.1,1498.0,98.6,5.0,999000.0
Honda City I Dtec Vx,Mombasa,2015,80606,Diesel,Manual,First,25.1,1498.0,98.6,5.0,1030080.0
Renault Kwid 1.0 Rxt Optional,Nyeri,2017,63262,Petrol,Manual,First,21.7,999.0,67.0,5.0,481000.0
Maruti Swift Ddis Zdi Plus,Kisumu,2018,5456,Diesel,Manual,First,28.4,1248.0,74.0,5.0,1280200.0
Maruti Celerio Vxi Optional Amt,Eldoret,2017,7500,Petrol,Automatic,First,23.1,998.0,67.04,5.0,740000.0
Mahindra Xuv500 W8 2Wd,Nairobi,2011,66000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,814000.0
Hyundai I10 Magna,Nyeri,2010,66770,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,384800.0
Hyundai I10 Magna 1.1,Mombasa,2014,58472,Petrol,Manual,First,19.81,1086.0,68.05,5.0,504680.0
Maruti Dzire Vxi,Kisumu,2011,46687,Petrol,Manual,First,22.0,1197.0,81.8,5.0,399600.0
Maruti Grand Vitara At,Mombasa,2008,77000,Petrol,Automatic,Fourth & Above,9.7,1995.0,163.5,5.0,814000.0
Audi Tt 40 Tfsi,Kisumu,2012,7000,Petrol,Automatic,First,14.33,1984.0,226.6,4.0,5180000.0
Mercedes-Benz New C-Class C 200 Cgi,Nairobi,2011,48000,Petrol,Automatic,Second,14.74,1991.0,184.0,5.0,1443000.0
Nissan Sunny 2011-2014 Diesel Xv,Nairobi,2013,47000,Diesel,Manual,First,21.64,1461.0,84.8,5.0,629000.0
Maruti Wagon R Lxi,Thika,2015,51530,Petrol,Manual,First,18.9,998.0,67.1,5.0,473600.0
Maruti Swift Dzire Zdi,Nakuru,2014,25789,Diesel,Manual,Second,23.4,1248.0,74.0,5.0,1013800.0
Honda Amaze S I-Dtech,Nairobi,2015,48000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,666000.0
Maruti Swift Zdi,Nairobi,2012,52000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,525400.0
Hyundai Accent Executive Cng,Kisumu,2010,95637,Cng,Manual,Second,13.2,1495.0,93.7,5.0,281200.0
Mahindra Scorpio Lx 2.6 Turbo,Kisumu,2008,131000,Diesel,Manual,First,10.5,2609.0,120.0,7.0,532800.0
Mercedes-Benz E-Class E250 Cdi Avantgrade,Mombasa,2015,42076,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,3226400.0
Toyota Fortuner 4X2 Manual,Nairobi,2012,76000,Diesel,Manual,Second,13.0,2982.0,168.5,7.0,1998000.0
Datsun Redi-Go T Option,Nakuru,2016,20487,Petrol,Manual,First,22.7,799.0,53.64,5.0,393680.0
Honda City V Mt,Nairobi,2010,43000,Petrol,Manual,Second,16.8,1497.0,116.3,5.0,555000.0
Toyota Camry Hybrid,Eldoret,2018,17000,Petrol,Automatic,First,19.16,2494.0,158.2,5.0,4736000.0
Honda City I Dtec V,Naivasha,2016,60805,Diesel,Manual,First,26.0,1498.0,98.6,5.0,1194360.0
Volkswagen Jetta 2012-2014 2.0L Tdi Trendline,Mombasa,2012,58775,Diesel,Manual,First,19.33,1968.0,138.1,5.0,834720.0
Audi A6 2011-2015 2.0 Tdi,Kisumu,2013,70181,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,3550520.0
Maruti Ertiga Vdi,Naivasha,2016,85827,Diesel,Manual,First,20.77,1248.0,88.76,7.0,1110000.0
Mercedes-Benz New C-Class C 220 Cdi Style,Nyeri,2016,58205,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,3996000.0
Maruti Swift Dzire Vdi Bsiv,Nairobi,2008,91000,Diesel,Manual,Second,19.3,1248.0,73.9,5.0,421800.0
Renault Duster 110Ps Diesel Rxz Pack,Eldoret,2012,74000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,939800.0
Maruti Ritz Vdi,Kisumu,2010,79324,Diesel,Manual,First,21.1,1248.0,73.9,5.0,488400.0
Maruti Swift Dzire Vxi,Nakuru,2013,38623,Petrol,Manual,First,19.1,1197.0,85.8,5.0,740000.0
Maruti Swift Zdi,Naivasha,2014,59923,Diesel,Manual,First,22.9,1248.0,74.0,5.0,956080.0
Hyundai Eon Sportz,Nyeri,2017,23360,Petrol,Manual,First,21.1,814.0,55.2,5.0,555000.0
Maruti Zen Vxi Bsii,Mombasa,2003,61495,Petrol,Manual,Third,17.3,993.0,60.0,5.0,224960.0
Maruti Eeco 7 Seater Standard,Naivasha,2012,56661,Petrol,Manual,First,15.1,1196.0,73.0,7.0,534280.0
Audi Q5 30 Tdi Quattro Premium,Naivasha,2017,40318,Diesel,Automatic,First,14.16,1968.0,174.3,5.0,6473520.0
Audi Q3 2.0 Tdi,Mombasa,2014,60000,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,2960000.0
Smart Fortwo Cdi At,Eldoret,2008,103000,Diesel,Automatic,Second,0.0,799.0,97.7,2.0,444000.0
Maruti Swift Dzire Vdi,Kisumu,2010,130000,Diesel,Manual,First,19.3,1248.0,73.9,5.0,540200.0
Tata Sumo Dx,Nairobi,2013,20000,Diesel,Manual,First,14.07,1978.0,83.1,10.0,777000.0
Bmw X5 2014-2019 Xdrive 30D Design Pure Experience 7 Seater,Kisumu,2016,76000,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,8584000.0
Honda City I-Vtec Cvt Vx,Nairobi,2015,30000,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,1280200.0
Tata Indigo Ecs Elx Bs Iv,Nairobi,2015,150000,Diesel,Manual,First,25.0,1396.0,69.01,5.0,370000.0
Volkswagen Vento Tsi,Mombasa,2014,28000,Petrol,Automatic,First,16.93,1197.0,103.6,5.0,1147000.0
Maruti Celerio Vxi,Nakuru,2015,74000,Petrol,Manual,First,23.1,998.0,67.04,5.0,614200.0000000001
Toyota Fortuner 3.0 Diesel,Nairobi,2011,75000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,1605800.0
Mitsubishi Outlander 2.4,Nairobi,2010,76000,Petrol,Automatic,Second,11.3,2360.0,170.0,5.0,818440.0
Volkswagen Jetta 2007-2011 1.9 Highline Tdi,Eldoret,2014,64889,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,1702000.0
Porsche Cayman 2009-2012 S,Kisumu,2010,10000,Petrol,Manual,First,9.0,3436.0,97.7,2.0,5920000.0
Hyundai Creta 1.6 Crdi Sx,Kisumu,2015,43000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,1369000.0
Skoda Fabia 1.2 Mpi Ambiente Petrol,Eldoret,2011,47490,Petrol,Manual,First,17.5,1198.0,75.0,5.0,338920.0
Ford Ecosport 1.5 Tdci Titanium,Mombasa,2015,80000,Diesel,Manual,First,22.77,1498.0,98.59,5.0,1036000.0
Maruti Zen Estilo 1.1 Lxi Bsiii,Nakuru,2007,60000,Petrol,Manual,Second,18.2,1061.0,64.0,5.0,244200.0
Maruti Ciaz 1.4 Delta,Thika,2017,6006,Petrol,Manual,First,20.73,1373.0,91.1,5.0,1221000.0
Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Mombasa,2011,71703,Petrol,Automatic,First,14.74,1991.0,181.03,5.0,1352720.0
Honda Amaze Sx I-Vtec,Kisumu,2016,33000,Petrol,Manual,First,17.8,1198.0,86.7,5.0,962000.0
Toyota Etios Gd,Kisumu,2012,60000,Diesel,Manual,First,23.59,1364.0,97.7,5.0,436600.0
Renault Duster 85Ps Diesel Rxl,Nyeri,2015,91000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,851000.0
Maruti Wagon R Lxi Lpg Bsiv,Kisumu,2012,72000,Lpg,Manual,First,26.2,998.0,58.2,5.0,421800.0
Volkswagen Polo Petrol Highline 1.2L,Kisumu,2011,43000,Petrol,Manual,Second,16.47,1198.0,73.9,5.0,310800.0
Hyundai Creta 1.6 Sx Plus Diesel,Naivasha,2017,63770,Diesel,Manual,First,19.67,1582.0,126.2,5.0,2005400.0
Jaguar Xf Diesel,Kisumu,2012,43510,Diesel,Automatic,First,14.74,2993.0,270.9,5.0,3034000.0
Jeep Compass 2.0 Limited 4X4,Nairobi,2017,52000,Diesel,Manual,First,16.3,1956.0,170.0,5.0,2960000.0
Land Rover Range Rover Evoque 2.0 Td4 Hse Dynamic,Mombasa,2018,31427,Diesel,Automatic,First,15.68,1999.0,177.0,5.0,8838560.0
Maruti Baleno Alpha Diesel,Kisumu,2016,29000,Diesel,Manual,First,27.39,1248.0,74.0,5.0,962000.0
Maruti Ciaz Zdi Shvs,Thika,2016,56000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,1110000.0
Maruti Sx4 Vxi Bsiii,Nyeri,2007,76000,Petrol,Manual,Second,15.0,1586.0,104.68,5.0,318200.0
Hyundai Elantra Crdi Sx,Naivasha,2015,53615,Diesel,Manual,First,22.7,1582.0,126.24,5.0,1249120.0
Mitsubishi Pajero Sport 4X4,Nakuru,2013,132000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,1848520.0
Volkswagen Ameo 1.2 Mpi Comfortline,Eldoret,2017,14800,Petrol,Manual,First,17.0,1198.0,73.75,5.0,811040.0
Maruti Ritz Vxi,Kisumu,2013,35433,Petrol,Manual,First,18.5,1197.0,85.8,5.0,621600.0
Hyundai Verna Crdi Sx,Kisumu,2013,82966,Diesel,Manual,First,16.8,1493.0,110.0,5.0,1065600.0
Maruti Swift Dzire Tour Ldi,Nyeri,2014,96000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,710400.0
Mahindra Kuv 100 Mfalcon D75 K6,Mombasa,2017,39528,Diesel,Manual,First,25.32,1198.0,77.0,6.0,862840.0
Toyota Innova Crysta 2.4 Zx Mt,Naivasha,2018,92056,Diesel,Manual,First,13.68,2393.0,147.8,7.0,2721720.0
Maruti Baleno Delta 1.2,Eldoret,2016,14930,Petrol,Manual,First,21.4,1197.0,83.1,5.0,865800.0
Honda Jazz Vx Diesel,Nairobi,2016,38000,Diesel,Manual,First,27.3,1498.0,98.6,5.0,919080.0
Hyundai I20 1.2 Asta,Nairobi,2013,71000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,540200.0
Hyundai I20 Sportz Diesel,Nairobi,2012,71000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,547600.0
Mercedes-Benz New C-Class C 220D Avantgarde Edition C,Eldoret,2015,50000,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,4440000.0
Hyundai Xcent 1.2 Kappa Base,Mombasa,2016,48163,Petrol,Manual,First,19.1,1197.0,82.0,5.0,717799.9999999999
Hyundai Grand I10 At Asta,Naivasha,2017,19168,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,1025640.0
Maruti Alto 800 Vxi,Kisumu,2016,26000,Petrol,Manual,First,22.74,796.0,47.3,5.0,384800.0
Chevrolet Sail Hatchback 1.2 Ls,Kisumu,2014,37400,Petrol,Manual,First,18.2,1199.0,82.5,5.0,279720.0
Mercedes-Benz C-Class Progressive C 220D,Nairobi,2018,8682,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,5846000.0
Skoda Superb Elegance 1.8 Tsi At,Nairobi,2012,95000,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,1480000.0
Audi A4 2.0 Tdi,Kisumu,2009,34000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,1472599.9999999998
Toyota Innova 2.5 G (Diesel) 7 Seater Bs Iv,Nairobi,2014,95000,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,1398599.9999999998
Mercedes-Benz Cla 200 Cdi Sport,Naivasha,2017,13689,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,4181000.0
Hyundai I10 Era,Nyeri,2008,84000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,266400.0
Maruti Swift Dzire Vxi,Kisumu,2008,47000,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,207200.0
Skoda Rapid 1.5 Tdi At Ambition,Thika,2015,60001,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,1073000.0
Maruti Ritz Vdi,Kisumu,2012,96000,Diesel,Manual,First,21.1,1248.0,73.9,5.0,532800.0
Hyundai Accent Gls 1.6,Nyeri,2004,47300,Petrol,Manual,Second,14.4,1599.0,94.0,5.0,177600.0
Honda Amaze Sx I-Vtec,Naivasha,2014,28246,Petrol,Manual,Second,17.8,1198.0,86.7,5.0,731120.0000000001
Maruti Wagon R Lxi,Nairobi,2007,65000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,185000.0
Volkswagen Polo Diesel Comfortline 1.2L,Mombasa,2013,68000,Diesel,Manual,Second,22.07,1199.0,73.9,5.0,710400.0
Ford Endeavour 2.2 Trend At 4X2,Mombasa,2019,11209,Diesel,Automatic,First,12.62,2198.0,158.0,7.0,4610200.0
Hyundai I20 1.2 Sportz,Eldoret,2011,41980,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,488400.0
Chevrolet Beat Diesel Ps,Nakuru,2012,65000,Diesel,Manual,First,25.44,936.0,57.6,5.0,355200.0
Honda Civic 2010-2013 1.8 V Mt,Kisumu,2010,38000,Petrol,Manual,First,14.8,1799.0,130.2,5.0,296000.0
Maruti Wagon R Vxi Bs Iv,Eldoret,2014,51000,Petrol,Manual,First,20.51,998.0,67.04,5.0,458800.0
Skoda Rapid 1.6 Mpi Ambition Plus,Mombasa,2014,33855,Petrol,Manual,First,15.0,1598.0,103.6,5.0,753320.0
Maruti Baleno Vxi - Bsiii,Eldoret,2006,146000,Petrol,Manual,Second,15.4,1590.0,94.0,5.0,155400.0
Ford Ecosport 1.5 Tdci Titanium,Nakuru,2015,47037,Diesel,Manual,Second,22.77,1498.0,98.59,5.0,1036000.0
Hyundai Accent Gle,Thika,2010,58000,Petrol,Manual,Second,13.2,1495.0,94.0,5.0,370000.0
Bmw 5 Series 520D Luxury Line,Nairobi,2012,61240,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,2590000.0
Maruti Alto K10 2010-2014 Vxi,Mombasa,2011,91211,Petrol,Manual,First,20.92,998.0,67.1,5.0,310800.0
Audi Q3 2012-2015 2.0 Tdi Quattro Premium Plus,Nakuru,2013,84000,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,2627000.0
Maruti Wagon R Lxi Duo Bsiii,Nairobi,2008,64226,Lpg,Manual,First,17.3,1061.0,57.5,5.0,214600.0
Toyota Corolla H4,Nakuru,2005,67000,Petrol,Automatic,Second,11.3,1794.0,125.0,5.0,362600.00000000006
Volvo Xc60 D5,Eldoret,2011,106976,Diesel,Automatic,First,13.5,2400.0,215.0,5.0,2042400.0
Honda Jazz 1.5 Vx I Dtec,Kisumu,2016,27210,Diesel,Manual,First,27.3,1498.0,98.6,5.0,865800.0
Maruti Ciaz 1.3 Alpha,Nairobi,2017,26322,Diesel,Manual,First,28.09,1248.0,88.5,5.0,1317200.0
Maruti Swift Vxi Bsiv,Nairobi,2016,9107,Petrol,Manual,First,20.4,1197.0,81.8,5.0,762200.0000000001
Mercedes-Benz New C-Class C 220 Cdi Avantgarde,Mombasa,2015,63983,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,2450879.9999999995
Maruti Wagon R Vxi Minor,Mombasa,2010,134000,Petrol,Manual,Second,18.9,1061.0,67.0,5.0,244200.0
Mercedes-Benz A Class A180 Sport,Eldoret,2015,11000,Petrol,Automatic,First,15.5,1595.0,120.7,5.0,2368000.0
Hyundai Santro Xing Gl,Eldoret,2008,93000,Petrol,Manual,First,0.0,1086.0,62.0,5.0,214600.0
Maruti Swift Dzire Amt Zdi,Naivasha,2017,24852,Diesel,Automatic,First,26.59,1248.0,74.0,5.0,1195840.0
Hyundai Grand I10 At Asta,Eldoret,2014,37632,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,666000.0
Nissan Sunny 2011-2014 Xv Special Edition,Mombasa,2013,55000,Petrol,Manual,Second,16.95,1498.0,97.7,5.0,636400.0
Maruti A-Star Lxi,Kisumu,2010,81448,Petrol,Manual,First,19.0,998.0,66.1,5.0,384800.0
Renault Kwid Rxt Optional,Kisumu,2018,1900,Petrol,Manual,First,25.17,799.0,53.3,5.0,658600.0
Hyundai Verna 1.6 Sx Vtvt (O) At,Naivasha,2012,54957,Petrol,Automatic,First,17.1,1591.0,121.4,5.0,794760.0
Maruti Wagon R Lxi Minor,Mombasa,2008,55000,Petrol,Manual,Second,18.9,1061.0,67.0,5.0,259000.0
Bmw 3 Series 320D Sport Line,Kisumu,2013,21983,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,2442000.0
Bmw 5 Series 2003-2012 520D,Nairobi,2013,76000,Diesel,Automatic,First,18.48,1995.0,177.0,5.0,2812000.0
Tata Indigo Cs Evx,Nyeri,2016,65000,Diesel,Manual,First,25.0,1396.0,69.01,5.0,414400.0
Hyundai I20 Sportz 1.4 Crdi,Kisumu,2015,26000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,917600.0
Maruti Omni E Mpi Std Bs Iv,Mombasa,2019,11571,Petrol,Manual,First,16.8,796.0,34.2,8.0,562400.0
Maruti Swift Zdi,Kisumu,2014,81000,Diesel,Manual,First,25.2,1248.0,74.0,5.0,902800.0
Ford Ecosport Signature Edition Diesel,Naivasha,2019,23154,Diesel,Manual,First,23.0,1498.0,98.96,5.0,1724200.0
Honda Brio Vx At,Nairobi,2014,26856,Petrol,Automatic,First,16.5,1198.0,86.8,5.0,614200.0000000001
